,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk
79,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,48960,51.0,480,0.0_12.0
80,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,48960,51.0,480,0.0_12.0
81,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,48960,51.0,480,0.0_12.0
82,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,48960,51.0,480,0.0_12.0
83,0.0,,,,,,57.0,,,,,240,note_off,,80.0,57.0,80.0,49200,51.25,480,0.0_12.0
84,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,49200,51.25,480,0.0_12.0
85,0.0,,,,,,45.0,,,,,0,note_off,,80.0,45.0,80.0,49200,51.25,480,0.0_12.0
86,0.0,,,,,,40.0,,,,,0,note_off,,80.0,40.0,80.0,49200,51.25,480,0.0_12.0
87,0.0,,,,,,61.0,,,,,0,note_on,,95.0,61.0,95.0,49200,51.25,480,0.0_12.0
88,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,49200,51.25,480,0.0_12.0
89,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,49200,51.25,480,0.0_12.0
90,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,49200,51.25,480,0.0_12.0
91,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,49200,51.25,480,0.0_12.0
92,0.0,,,,,,61.0,,,,,240,note_off,,80.0,61.0,80.0,49440,51.5,480,0.0_12.0
93,0.0,,,,,,57.0,,,,,0,note_off,,80.0,57.0,80.0,49440,51.5,480,0.0_12.0
94,0.0,,,,,,52.0,,,,,0,note_off,,80.0,52.0,80.0,49440,51.5,480,0.0_12.0
95,0.0,,,,,,45.0,,,,,0,note_off,,80.0,45.0,80.0,49440,51.5,480,0.0_12.0
96,0.0,,,,,,40.0,,,,,0,note_off,,80.0,40.0,80.0,49440,51.5,480,0.0_12.0
97,0.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,49440,51.5,480,0.0_12.0
98,0.0,,,,,,61.0,,,,,0,note_on,,95.0,61.0,95.0,49440,51.5,480,0.0_12.0
99,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,49440,51.5,480,0.0_12.0
100,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,49440,51.5,480,0.0_12.0
101,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,49440,51.5,480,0.0_12.0
102,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,49440,51.5,480,0.0_12.0
103,0.0,,,,,,64.0,,,,,240,note_off,,80.0,64.0,80.0,49680,51.75,480,0.0_12.0
104,0.0,,,,,,61.0,,,,,0,note_off,,80.0,61.0,80.0,49680,51.75,480,0.0_12.0
105,0.0,,,,,,57.0,,,,,0,note_off,,80.0,57.0,80.0,49680,51.75,480,0.0_12.0
