,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,octave,note_value,note_value_nmd,note_name,angle
258,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,9408,24.5,4.0,3.0,9,A,90
259,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,9408,24.5,3.0,6.0,6,F#,180
260,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,9408,24.5,3.0,4.0,4,E,120
264,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9504,24.75,3.0,6.0,6,F#,180
266,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9600,25.0,3.0,6.0,6,F#,180
267,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,9600,25.0,2.0,11.0,5,F,330
270,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9696,25.25,3.0,6.0,6,F#,180
271,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,9696,25.25,2.0,11.0,5,F,330
274,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9792,25.5,3.0,6.0,6,F#,180
275,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,9792,25.5,4.0,3.0,9,A,90
276,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,9792,25.5,3.0,4.0,4,E,120
280,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,9888,25.75,4.0,3.0,9,A,90
281,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,9888,25.75,3.0,6.0,6,F#,180
284,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,9936,25.875,2.0,11.0,5,F,330
286,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,9984,26.0,2.0,11.0,5,F,330
287,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,9984,26.0,3.0,6.0,6,F#,180
290,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,10080,26.25,3.0,6.0,6,F#,180
292,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,10176,26.5,3.0,4.0,4,E,120
293,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,10176,26.5,4.0,3.0,9,A,90
294,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,10176,26.5,3.0,6.0,6,F#,180
298,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,10272,26.75,3.0,6.0,6,F#,180
300,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,10368,27.0,2.0,11.0,5,F,330
301,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,10368,27.0,3.0,6.0,6,F#,180
304,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,10464,27.25,3.0,6.0,6,F#,180
305,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,10464,27.25,2.0,11.0,5,F,330
308,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,10560,27.5,3.0,4.0,4,E,120
309,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,10560,27.5,4.0,3.0,9,A,90
310,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,10560,27.5,3.0,6.0,6,F#,180
314,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,10656,27.75,4.0,3.0,9,A,90
315,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,10656,27.75,3.0,6.0,6,F#,180
318,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,10704,27.875,2.0,11.0,5,F,330
320,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,10752,28.0,2.0,11.0,5,F,330
321,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,10752,28.0,3.0,6.0,6,F#,180
324,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,10848,28.25,3.0,6.0,6,F#,180
326,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,10944,28.5,4.0,3.0,9,A,90
327,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,10944,28.5,3.0,6.0,6,F#,180
328,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,10944,28.5,3.0,4.0,4,E,120
332,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,11040,28.75,3.0,6.0,6,F#,180
334,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,11136,29.0,2.0,11.0,5,F,330
335,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,11136,29.0,3.0,6.0,6,F#,180
338,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,11232,29.25,3.0,6.0,6,F#,180
339,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,11232,29.25,2.0,11.0,5,F,330
342,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,11328,29.5,3.0,4.0,4,E,120
343,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,11328,29.5,3.0,6.0,6,F#,180
344,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,11328,29.5,4.0,3.0,9,A,90
348,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,11424,29.75,4.0,3.0,9,A,90
349,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,11424,29.75,3.0,6.0,6,F#,180
352,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,11472,29.875,2.0,11.0,5,F,330
354,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,11520,30.0,3.0,6.0,6,F#,180
355,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,11520,30.0,2.0,11.0,5,F,330
358,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,11616,30.25,3.0,6.0,6,F#,180
360,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,11712,30.5,3.0,4.0,4,E,120
361,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,11712,30.5,3.0,6.0,6,F#,180
362,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,11712,30.5,4.0,3.0,9,A,90
366,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,11808,30.75,3.0,6.0,6,F#,180
368,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,11904,31.0,3.0,6.0,6,F#,180
369,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,11904,31.0,2.0,11.0,5,F,330
372,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,12000,31.25,2.0,11.0,5,F,330
373,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,12000,31.25,3.0,6.0,6,F#,180
376,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,12096,31.5,4.0,3.0,9,A,90
377,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,12096,31.5,3.0,6.0,6,F#,180
378,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,12096,31.5,3.0,4.0,4,E,120
382,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,12192,31.75,3.0,6.0,6,F#,180
383,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,12192,31.75,4.0,3.0,9,A,90
386,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,12240,31.875,2.0,11.0,5,F,330
388,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,12288,32.0,3.0,6.0,6,F#,180
389,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,12288,32.0,2.0,11.0,5,F,330
392,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,12384,32.25,3.0,6.0,6,F#,180
394,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,12480,32.5,3.0,4.0,4,E,120
395,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,12480,32.5,3.0,6.0,6,F#,180
396,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,12480,32.5,4.0,3.0,9,A,90
